iter	RMSE
322	1072.95167
323	1072.876989
324	1072.801457
325	1072.682831
326	1072.540666
327	1072.460504
328	1072.364716
329	1072.294527
330	1072.207976
331	1072.094389
332	1071.980172
333	1071.881573
334	1071.806393
335	1071.710854
336	1071.621972
337	1071.548119
338	1071.454749
339	1071.362263
340	1071.240404
341	1071.164272
342	1071.091102
343	1071.007887
344	1070.923189
345	1070.860024
346	1070.803833
347	1070.699781
348	1070.635001
349	1070.571102
350	1070.487116
351	1070.406018
352	1070.327666
353	1070.268198
354	1070.176008
355	1070.089772
356	1070.018054
357	1069.988112
358	1069.904601
359	1069.836263
360	1069.75144
361	1069.690504
362	1069.607112
363	1069.550101
364	1069.48651
365	1069.416614
366	1069.359302
367	1069.300507
368	1069.214497
369	1069.14999
370	1069.056308
371	1068.973466
372	1068.904815
373	1068.86731
374	1068.789925
375	1068.725725
376	1068.659636
377	1068.604304
378	1068.559565
379	1068.494967
380	1068.425994
381	1068.368402
382	1068.309517
383	1068.229648
384	1068.174945
385	1068.110962
386	1068.064069
387	1068.016675
388	1067.94597
389	1067.90408
390	1067.838425
391	1067.749289
392	1067.69692
393	1067.67017
394	1067.609415
395	1067.517215
396	1067.47872
397	1067.437327
398	1067.365203
399	1067.267538
400	1067.211551
401	1067.167839
402	1067.121077
403	1067.078557
404	1067.033801
405	1066.943364
406	1066.906742
407	1066.869981
408	1066.839264
409	1066.752737
410	1066.657
411	1066.590756
412	1066.545807
413	1066.481045
414	1066.444346
415	1066.414277
416	1066.354183
417	1066.31057
418	1066.271879
419	1066.182772
420	1066.127274
421	1066.078579
422	1066.000556
423	1065.91637
424	1065.880341
425	1065.837667
426	1065.740796
427	1065.663817
428	1065.565718
429	1065.478413
430	1065.439532
431	1065.387723
432	1065.312372
433	1065.242147
434	1065.202809
435	1065.150165
436	1065.102315
437	1065.035945
438	1064.96512
439	1064.905056
440	1064.843587
441	1064.802494
442	1064.761577
443	1064.714113
444	1064.653796
445	1064.608937
446	1064.551329
447	1064.508463
448	1064.420271
449	1064.364455
450	1064.335008
451	1064.315676
452	1064.267943
453	1064.201337
454	1064.072901
455	1064.019896
456	1063.963904
457	1063.921328
458	1063.830221
459	1063.776663
460	1063.737147
461	1063.67287
462	1063.595132
463	1063.544455
464	1063.511685
465	1063.462621
466	1063.412094
467	1063.359312
468	1063.326687
469	1063.291591
470	1063.262905
471	1063.180459
472	1063.128842
473	1063.085705
474	1063.025192
475	1062.94084
476	1062.922439
477	1062.838373
478	1062.817081
479	1062.784399
480	1062.747925
481	1062.696713
482	1062.610804
483	1062.571926
484	1062.551778
485	1062.494357
486	1062.453653
487	1062.419146
488	1062.381224
489	1062.335765
490	1062.270607
491	1062.235079
492	1062.148631
493	1062.114015
494	1062.01843
495	1061.944782
496	1061.904798
497	1061.882414
498	1061.861537
499	1061.834711
500	1061.766985
501	1061.726085
502	1061.664367
503	1061.627146
504	1061.593872
505	1061.531578
506	1061.480028
507	1061.411799
508	1061.393657
509	1061.340597
510	1061.304462
511	1061.260898
512	1061.1854
513	1061.11759
514	1061.042595
515	1060.98846
516	1060.933394
517	1060.891288
518	1060.844622
519	1060.777669
520	1060.717268
521	1060.684424
522	1060.636725
523	1060.611462
524	1060.557722
525	1060.491246
526	1060.440833
527	1060.426928
528	1060.340993
529	1060.32368
530	1060.269964
531	1060.226958
532	1060.170362
533	1060.080621
534	1060.011276
535	1059.953417
536	1059.915454
537	1059.874792
538	1059.808259
539	1059.766025
540	1059.724554
541	1059.655403
542	1059.606744
543	1059.567877
544	1059.564431
545	1059.490658
546	1059.431797
547	1059.38542
548	1059.355573
549	1059.324249
550	1059.247275
551	1059.185651
552	1059.146577
553	1059.117147
554	1059.082137
555	1059.046198
556	1059.021092
557	1058.99369
558	1058.943705
559	1058.876415
560	1058.81828
561	1058.734221
562	1058.703772
563	1058.657984
564	1058.630951
565	1058.585149
566	1058.536345
567	1058.470978
568	1058.418508
569	1058.356012
570	1058.321328
571	1058.234485
572	1058.163171
573	1058.141156
574	1058.068688
575	1058.042049
576	1057.978845
577	1057.976006
578	1057.960586
579	1057.903585
580	1057.844836
581	1057.768602
582	1057.724209
583	1057.690276
584	1057.635862
585	1057.586197
586	1057.55907
587	1057.485327
588	1057.421825
589	1057.372586
590	1057.31118
591	1057.240065
592	1057.180749
593	1057.141478
594	1057.097753
595	1057.071246
596	1057.056116
597	1056.973128
598	1056.888214
599	1056.811792
600	1056.743769
601	1056.708701
602	1056.658581
603	1056.614785
604	1056.548915
605	1056.491176
606	1056.43511
607	1056.37813
608	1056.347628
609	1056.273208
610	1056.204437
611	1056.156217
612	1056.129462
613	1056.043931
614	1056.004721
615	1055.951803
616	1055.894863
617	1055.834842
618	1055.782101
619	1055.739693
620	1055.681555
621	1055.649121
622	1055.580471
623	1055.555742
624	1055.523132
625	1055.482356
626	1055.424104
627	1055.384665
628	1055.307654
629	1055.290999
630	1055.224976
631	1055.180933
632	1055.13683
633	1055.113213
634	1055.058177
635	1054.993339
636	1054.932782
637	1054.872698
638	1054.856267
639	1054.810619
640	1054.775888
641	1054.766822
642	1054.67289
643	1054.627047
644	1054.606368
645	1054.555593
646	1054.500132
647	1054.456944
648	1054.4286
649	1054.375874
650	1054.328433
651	1054.302922
652	1054.276544
653	1054.226618
654	1054.192934
655	1054.152046
656	1054.1221
657	1054.10064
658	1054.049
659	1053.992453
660	1053.966426
661	1053.91956
662	1053.8749
663	1053.822471
664	1053.766792
665	1053.704689
666	1053.668422
667	1053.612818
668	1053.562288
669	1053.541357
670	1053.486704
671	1053.433475
672	1053.336202
673	1053.238117
674	1053.186849
675	1053.157776
676	1053.104705
677	1053.069618
678	1053.051034
679	1052.974992
680	1052.947413
681	1052.87827
682	1052.854795
683	1052.841241
684	1052.811588
685	1052.772671
686	1052.720182
687	1052.654016
688	1052.630506
689	1052.598827
690	1052.572854
691	1052.522392
692	1052.467799
693	1052.450526
694	1052.395601
695	1052.371527
696	1052.312585
697	1052.272911
698	1052.242605
699	1052.177677
700	1052.127497
701	1052.047301
702	1051.994506
703	1051.937628
704	1051.87685
705	1051.825635
706	1051.790731
707	1051.739487
708	1051.693416
709	1051.647994
710	1051.607228
711	1051.581013
712	1051.549164
713	1051.49514
714	1051.487663
715	1051.457061
716	1051.414428
717	1051.326313
718	1051.283298
719	1051.234052
720	1051.164071
721	1051.153989
722	1051.104671
723	1051.043438
724	1050.981618
725	1050.948282
726	1050.924212
727	1050.87841
728	1050.850064
729	1050.78789
730	1050.764359
731	1050.723767
732	1050.681208
733	1050.663862
734	1050.633636
735	1050.587653
736	1050.553385
737	1050.526261
738	1050.470351
739	1050.418289
740	1050.365639
741	1050.316135
742	1050.237218
743	1050.182401
744	1050.138652
745	1050.110147
746	1050.056051
747	1050.033192
748	1049.990183
749	1049.931359
750	1049.890574
751	1049.837782
752	1049.819671
753	1049.742376
754	1049.693569
755	1049.621435
756	1049.569946
757	1049.511527
758	1049.458878
759	1049.414498
760	1049.368846
761	1049.280666
762	1049.256882
763	1049.217822
764	1049.196521
765	1049.12461
766	1049.090462
767	1049.066932
768	1049.019276
769	1048.979153
770	1048.918237
771	1048.859384
772	1048.794897
773	1048.727685
774	1048.690237
775	1048.655321
776	1048.582222
777	1048.536996
778	1048.451875
779	1048.389673
780	1048.360655
781	1048.324716
782	1048.252548
783	1048.194866
784	1048.163289
785	1048.128563
786	1048.103458
787	1048.072763
788	1048.06612
789	1048.041056
790	1048.007637
791	1047.984807
792	1047.965307
793	1047.957756
794	1047.893358
795	1047.857139
796	1047.842035
797	1047.746371
798	1047.676403
799	1047.636313
800	1047.609895
801	1047.577523
802	1047.505615
803	1047.457391
804	1047.412145
805	1047.365764
806	1047.336332
807	1047.312658
808	1047.252412
809	1047.175606
810	1047.104883
811	1047.07756
812	1047.051252
813	1047.010303
814	1046.971957
815	1046.898858
816	1046.853765
817	1046.803379
818	1046.763344
819	1046.715533
820	1046.672648
821	1046.660117
822	1046.628157
823	1046.583396
824	1046.494388
825	1046.456211
826	1046.384907
827	1046.318618
828	1046.255356
829	1046.207486
830	1046.149482
831	1046.082673
832	1046.072232
833	1046.042568
834	1046.003164
835	1045.97594
836	1045.922864
837	1045.88272
838	1045.826194
839	1045.776772
840	1045.727043
841	1045.69657
842	1045.641917
843	1045.600072
844	1045.573449
845	1045.551791
846	1045.50277
847	1045.45348
848	1045.377054
849	1045.340693
850	1045.292228
851	1045.240169
852	1045.18375
853	1045.143061
854	1045.114501
855	1045.085672
856	1045.034696
857	1044.953644
858	1044.912366
859	1044.885227
860	1044.84079
861	1044.794038
862	1044.764899
863	1044.744373
864	1044.719883
865	1044.677531
866	1044.603605
867	1044.566372
868	1044.51956
869	1044.434407
870	1044.387916
871	1044.358839
872	1044.31348
873	1044.242099
874	1044.192344
875	1044.147913
876	1044.094332
877	1044.065756
878	1044.000219
879	1043.940989
880	1043.905142
881	1043.848891
882	1043.781159
883	1043.718448
884	1043.693657
885	1043.643113
886	1043.585331
887	1043.546151
888	1043.469772
889	1043.379492
890	1043.287613
891	1043.234181
892	1043.191563
893	1043.149682
894	1043.103069
895	1043.060414
896	1043.043907
897	1043.013646
898	1042.988803
899	1042.9381
900	1042.913435
901	1042.886425
902	1042.862145
903	1042.803725
904	1042.753594
905	1042.706299
906	1042.659284
907	1042.602097
908	1042.546598
909	1042.498932
910	1042.470132
911	1042.424655
912	1042.366013
913	1042.308391
914	1042.269344
915	1042.212137
916	1042.130148
917	1042.081436
918	1042.039588
919	1041.989369
920	1041.916947
921	1041.890257
922	1041.844216
923	1041.803541
924	1041.763194
925	1041.737022
926	1041.69918
927	1041.647397
928	1041.610239
929	1041.549666
930	1041.504159
931	1041.45458
932	1041.411782
933	1041.352487
934	1041.29801
935	1041.248457
936	1041.203725
937	1041.172677
938	1041.123445
939	1041.051267
940	1040.994844
941	1040.955313
942	1040.893006
943	1040.866993
944	1040.798293
945	1040.741789
946	1040.716881
947	1040.673047
948	1040.580398
949	1040.536216
950	1040.492943
951	1040.452826
952	1040.377633
953	1040.331082
954	1040.297821
955	1040.258748
956	1040.223739
957	1040.166484
958	1040.108158
959	1040.077051
960	1040.042583
961	1040.016372
962	1039.954367
963	1039.944225
964	1039.892234
965	1039.858411
966	1039.794686
967	1039.749035
968	1039.709563
969	1039.642477
970	1039.622294
971	1039.578663
972	1039.532452
973	1039.480803
974	1039.454018
975	1039.412148
976	1039.357318
977	1039.31658
978	1039.247605
979	1039.198364
980	1039.126038
981	1039.057859
982	1039.008546
983	1038.937342
984	1038.859274
985	1038.830662
986	1038.796442
987	1038.760137
988	1038.723013
989	1038.672619
990	1038.643331
991	1038.60633
992	1038.585012
993	1038.553381
994	1038.48582
995	1038.458653
996	1038.430165
997	1038.380515
998	1038.347511
999	1038.311173
